Name,Smiles
1-Methyl-4-{4-[(4-methyl-3-{[4-(3-pyridinyl)-2-pyrimidinyl]amino}phenyl)carbamoyl]benzyl}piperazin-1-ium,Cc1ccc(NC(=O)c2ccc(CN3CC[NH+](C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
Toluene,Cc1ccccc1
